image filepath,label
../notMNIST/B/Q2hhbnNvbiBIZWF2eSBTRiBCb2xkIEl0YWxpYy50dGY=.png,B
../notMNIST/D/QW1lcmljYW4gUG9wIFBsYWluLnR0Zg==.png,D
../notMNIST/C/RmlnaHQgVGhpcy50dGY=.png,C
../notMNIST/H/Qml0c3RyZWFtIElvd2FuIE9sZCBTdHlsZS5wZmI=.png,H
../notMNIST/J/QmFsdHJhR0Qub3Rm.png,J
../notMNIST/A/Q2FzdGxlVC1Cb2xkLm90Zg==.png,A
../notMNIST/J/Q2FsY3VsdXNMQ0RDYW1lby5vdGY=.png,J
../notMNIST/H/RGVsaW5xdWVudCBCbGFjay50dGY=.png,H
../notMNIST/A/Qmxpc3MgQm9sZC50dGY=.png,A
../notMNIST/F/RXllIGdsYXNzIENvbmRlbnNlZCBOb3JtYWwudHRm.png,F
../notMNIST/A/Rm9ybWF0YUV4cGVydEJRLUxpZ2h0Lm90Zg==.png,A
../notMNIST/J/Qm9va21hbiBSZWd1bGFyLnR0Zg==.png,J
../notMNIST/D/RnJhbmtUaW1lcy1JdGFsaWMudHRm.png,D
../notMNIST/H/SGVsdmV0aWNhQ3lyLUJvbGQub3Rm.png,H
../notMNIST/J/QnVzdGVyLUJvbGRDb25kZW5zZWQub3Rm.png,J
../notMNIST/G/SGVhdGhlciBTY3JpcHQgVHdvLnR0Zg==.png,G
../notMNIST/A/R291ZHlDYXRhbG9ndWVCVC1SZWd1bGFyLm90Zg==.png,A
../notMNIST/H/QW50aXF1ZSBPbGl2ZSBCbGFjay5wZmI=.png,H
../notMNIST/B/RFRMQ2FzcGFyaVNULU1lZGl1bUl0YWxpYy5vdGY=.png,B
../notMNIST/F/R291ZHlDYXRhbG9ndWVCVC1SZWd1bGFyLm90Zg==.png,F
../notMNIST/G/RXRobm9jZW50cmljLnR0Zg==.png,G
../notMNIST/B/R3JvdGVzcXVlTVRTdGQtTGlnaHRJdGFsaWMub3Rm.png,B
../notMNIST/H/RWxlbWVudGFTeW1ib2wtSXRhbGljLm90Zg==.png,H
../notMNIST/J/Q291cmllci1Cb2xkT2JsaXF1ZS5vdGY=.png,J
../notMNIST/A/QWt6aWRlbnpHcm90ZXNrQkUtTWQub3Rm.png,A
../notMNIST/G/RXhvdGljLUJvbGQgV2QudHRm.png,G
../notMNIST/B/QXVyZWxpYUVGLUJvb2tJdGFsaWMub3Rm.png,B
../notMNIST/G/Q29udHJvbCBGcmVhayBPZmZzZXQudHRm.png,G
../notMNIST/B/QWt6aWRlbnotR3JvdGVzayAoUikgU2NodWxidWNoIDIgUmVndWxhci50dGY=.png,B
../notMNIST/B/RW5ncnZPczIwNSBCbGsgQlQgQmxhY2sgSXRhbGljLnR0Zg==.png,B
../notMNIST/E/R2VvbWV0cjIzMSBCVCBSb21hbi50dGY=.png,E
../notMNIST/A/RnJhbmtmdXJ0R290aGljSGVhdnkgSXRhbGljLnR0Zg==.png,A
../notMNIST/F/SGVsbG8gQnJhZHkncyBEYWQhLnR0Zg==.png,F
../notMNIST/I/Q2hvY0lDRy5vdGY=.png,I
../notMNIST/B/QnVyZWF1R3JvdFRocmVlU2V2ZW4ub3Rm.png,B
../notMNIST/H/R2lsbFNhbnNNVFN0ZC1IZWF2eS5vdGY=.png,H
../notMNIST/A/R2FyYW1vbmROYXJyb3dDLUxpZ2h0SXRhbGljLm90Zg==.png,A
../notMNIST/B/RGVzdGlqbEV4cGVydC5vdGY=.png,B
../notMNIST/D/QWRhbXMgVGhpbiBJdGFsaWMudHRm.png,D
../notMNIST/J/RXVyb3N0aWxlLVJvbWFuLURUQy50dGY=.png,J
../notMNIST/E/RmFnb0NvTGYub3Rm.png,E
../notMNIST/I/Q29tcGFjdGEgQmxhY2sgQlQudHRm.png,I
../notMNIST/J/Q2FudG9yaWEgTVQgRXh0cmFCb2xkLnR0Zg==.png,J
../notMNIST/I/RGF2aWQgQm9sZCgxKS50dGY=.png,I
../notMNIST/F/SWFkZWxvbi1Cb2xkLm90Zg==.png,F
../notMNIST/H/RmFpcmZpZWxkTEgtSGVhdnlTQy5vdGY=.png,H
../notMNIST/A/SGVsdmV0aWNhQlEtQmxhY2tJdGFsaWMub3Rm.png,A
../notMNIST/J/Q2hlbHRlbmhhbVN0ZC1Cb2xkLm90Zg==.png,J
../notMNIST/D/Q2hhcmxvdHRlU3RkLUJvb2sub3Rm.png,D
../notMNIST/D/RXhwcmVzc2FFRi1EZW1pQm9sZC5vdGY=.png,D
../notMNIST/J/OC1iaXQgTGltaXQgTyBCUksudHRm.png,J
../notMNIST/F/RWxhbkJRLUJsYWNrLm90Zg==.png,F
../notMNIST/B/RHJvcGxldC5vdGY=.png,B
../notMNIST/G/Q3Jvc3NvdmVyIEV4dHJhTGlnaHQudHRm.png,G
../notMNIST/D/Q2FuZHkgU3RyaXBlIChCUkspLnR0Zg==.png,D
../notMNIST/G/QW5nZWwgRm9udC50dGY=.png,G
../notMNIST/C/RmlyZWhvdXNlLnBmYg==.png,C
../notMNIST/J/RG9kZ2VyIFNoYWRvdy50dGY=.png,J
../notMNIST/H/R2FyYW1vbmRQcmVtclByby1NZWRJdERpc3Aub3Rm.png,H
../notMNIST/F/RGVzdHJ1Y3RvQmVhbSBCQi50dGY=.png,F
../notMNIST/B/R3JvdGVzcXVlTVQtTGlnaHRDb25kZW5zZWQub3Rm.png,B
../notMNIST/D/QmxhY2tmb3JkIE9sZFN0eWxlIFNTaSBTbWFsbCBDYXBzLnR0Zg==.png,D
../notMNIST/C/SElMT0dJTkNPTi50dGY=.png,C
../notMNIST/G/SVRDRnJhbmtsaW5Hb3RoaWNTdGQtQm9va0l0Lm90Zg==.png,G
../notMNIST/F/QmFsbGFudGluZXMtRGVtaUJvbGQub3Rm.png,F
../notMNIST/C/SGFuIFNvbG8udHRm.png,C
../notMNIST/D/QmFuY29JVENTdGQtTGlnaHQub3Rm.png,D
../notMNIST/B/Qmxhc3RlciBJbmZpbml0ZS50dGY=.png,B
../notMNIST/B/QWRvYmVBcmFiaWMtQm9sZEl0YWxpYy5vdGY=.png,B
../notMNIST/C/RXVyb3BlRXh0LUJvbGQub3Rm.png,C
../notMNIST/D/Q2hpYW50aSBHWCBCVC50dGY=.png,D
../notMNIST/E/Q0NTcG9va3l0b290aC1SZWd1bGFyLnR0Zg==.png,E
../notMNIST/C/RnV0dXJhSUNHLUJvbGQub3Rm.png,C
../notMNIST/I/R2FyYW1vbmRJdGNULUJvbGRJdGFsaWMub3Rm.png,I
../notMNIST/D/Q2xlcmZhY2UtQm9sZC5vdGY=.png,D
../notMNIST/E/RnV0dXJhRUYtTGlnaHRDb25kLm90Zg==.png,E
../notMNIST/H/Qm9kb25pT2xkRmFjZUJRLUl0YWxpYy5vdGY=.png,H
../notMNIST/F/RGVtb2NyYXRpY2FSZWd1bGFyT2xkc3R5bGUub3Rm.png,F
../notMNIST/E/SGFtYnVyZy1EZW1pQm9sZC5vdGY=.png,E
../notMNIST/F/QW1wbGl0dWRlQ29tcC1MaWdodC50dGY=.png,F
../notMNIST/C/SVRDQXZhbnRHYXJkZVN0ZC1YTHRDbk9ibC5vdGY=.png,C
../notMNIST/A/NXRoR3JhZGVyLnR0Zg==.png,A
../notMNIST/B/Rm9saW9CVC1Cb2xkLm90Zg==.png,B
../notMNIST/I/RmFnb0NvLUJvbGRJdGFsaWNDYXBzLm90Zg==.png,I
../notMNIST/E/QnVsbC1VbmRlcklua2VkLm90Zg==.png,E
../notMNIST/E/SVNPQ1BFVVIgSXRhbGljLnR0Zg==.png,E
../notMNIST/F/QXJ0aWZpY2VTU0sudHRm.png,F
../notMNIST/A/RmFuZGFuZ28ub3Rm.png,A
../notMNIST/C/RXllIGdsYXNzIENvbmRlbnNlZCBOb3JtYWwudHRm.png,C
